base_1,43.118967237	,131.889649040	,114.216
454,43.025988042	,131.896096463	,36.544
455,43.025996757	,131.896097308	,36.484
456,43.026009292	,131.896142474	,36.772
457,43.026012716	,131.896141086	,36.530
458,43.026016622	,131.896133026	,36.484
459,43.026070066	,131.896077622	,36.528
460,43.026095205	,131.896055473	,35.834
461,43.026097060	,131.896068911	,36.097
462,43.026068586	,131.896139760	,36.879
463,43.026064631	,131.896144860	,37.150
464,43.026073252	,131.896150140	,37.102
465,43.026078067	,131.896160660	,37.224
466,43.026105721	,131.896174051	,37.395
467,43.026074774	,131.896198397	,37.748
468,43.026127500	,131.896252767	,37.791
469,43.026132076	,131.896274949	,37.891
470,43.026129686	,131.896277125	,37.900
471,43.026145527	,131.896305688	,37.617
472,43.026144152	,131.896314014	,37.675
473,43.026104525	,131.896273056	,38.210
474,43.026101589	,131.896266099	,39.115
475,43.026096347	,131.896275007	,38.243
476,43.026067790	,131.896276864	,38.704
477,43.026064713	,131.896268841	,38.623
478,43.025677677	,131.897216801	,44.696
479,43.025714786	,131.897219468	,44.204
480,43.025717387	,131.897218040	,44.188
481,43.025718578	,131.897208001	,44.011
482,43.025714059	,131.897161269	,43.446
483,43.025786350	,131.897191618	,42.635
484,43.025778635	,131.897162429	,42.643
485,43.025787939	,131.897111149	,42.219
486,43.025813496	,131.897133252	,42.659
487,43.025827868	,131.897073574	,41.930
488,43.025842990	,131.897106239	,42.214
489,43.025858868	,131.897132076	,41.827
490,43.025857352	,131.897188835	,42.360
491,43.025863593	,131.897189633	,42.404
492,43.025861185	,131.897222984	,41.917
493,43.025869127	,131.897216568	,41.861
494,43.025900383	,131.897189116	,41.546
495,43.025911103	,131.897181448	,41.461
496,43.025844218	,131.897032457	,41.876
497,43.025906111	,131.897053668	,41.745
498,43.025908917	,131.897040801	,41.620
499,43.025915324	,131.896972335	,41.369
500,43.025910464	,131.896972546	,41.610
501,43.025918350	,131.896969177	,41.586
502,43.025967393	,131.897046826	,41.053
503,43.025969684	,131.897042792	,41.088
504,43.025953151	,131.897098382	,41.293
505,43.025963305	,131.897185347	,41.534
506,43.026027439	,131.897125800	,40.831
507,43.026003977	,131.897074719	,40.773
508,43.025992255	,131.897023901	,40.773
509,43.025996425	,131.896994981	,40.773
